,1000,1125,1250,1375,1500,1625,1750,1875,2000,2125,2250,2375,2500,2625,2750,2875,3000,3125,3250,3375,3500
1.1875,0.1928,0.07723,0.03266,0.01418,0.006431,0.003003,0.001396,0.0006691,0.0003258,0.0001618,7.912e-05,3.964e-05,1.977e-05,1.01e-05,5.129e-06,2.587e-06,1.352e-06,6.92e-07,3.609e-07,1.878e-07,9.934e-08
1.25,0.1941,0.07721,0.03238,0.01432,0.006491,0.00295,0.001416,0.0006832,0.0003251,0.0001617,7.954e-05,3.944e-05,1.976e-05,9.919e-06,5.049e-06,2.604e-06,1.328e-06,6.899e-07,3.636e-07,1.907e-07,1.013e-07
1.3125,0.1905,0.078,0.03324,0.01424,0.006513,0.00299,0.001419,0.0006859,0.000325,0.0001597,7.972e-05,3.958e-05,1.969e-05,9.888e-06,5.069e-06,2.593e-06,1.336e-06,6.893e-07,3.601e-07,1.901e-07,9.97e-08
1.375,0.1926,0.07714,0.03301,0.01427,0.006484,0.003006,0.001409,0.000689,0.0003282,0.0001605,8.017e-05,3.961e-05,2.002e-05,9.994e-06,5.086e-06,2.605e-06,1.334e-06,6.935e-07,3.6e-07,1.882e-07,9.923e-08
1.4375,0.1946,0.0781,0.03304,0.01454,0.006476,0.003026,0.00142,0.0006736,0.000329,0.0001612,7.924e-05,3.949e-05,1.998e-05,1.01e-05,5.065e-06,2.608e-06,1.339e-06,6.914e-07,3.623e-07,1.888e-07,1.01e-07
1.5,0.1943,0.07793,0.03275,0.01448,0.006455,0.002989,0.001386,0.00068,0.0003307,0.0001589,8.027e-05,4.025e-05,1.962e-05,1.004e-05,5.07e-06,2.596e-06,1.332e-06,6.878e-07,3.623e-07,1.9e-07,9.999e-08
1.5625,0.1945,0.07815,0.03271,0.01429,0.006474,0.002998,0.001408,0.0006858,0.0003326,0.0001607,7.978e-05,3.969e-05,2.006e-05,1.002e-05,5.114e-06,2.596e-06,1.343e-06,6.94e-07,3.619e-07,1.906e-07,1.001e-07
1.625,0.1949,0.07785,0.03315,0.01429,0.00648,0.002994,0.00141,0.0006669,0.0003327,0.0001595,7.868e-05,3.942e-05,1.98e-05,1.013e-05,5.036e-06,2.554e-06,1.338e-06,6.957e-07,3.604e-07,1.892e-07,1.002e-07
1.6875,0.1934,0.07845,0.03265,0.01402,0.006474,0.002981,0.00141,0.0006809,0.000334,0.0001629,8.118e-05,3.935e-05,1.98e-05,9.883e-06,5.075e-06,2.583e-06,1.342e-06,6.878e-07,3.627e-07,1.891e-07,9.962e-08
1.75,0.1946,0.07699,0.03289,0.01441,0.006481,0.002937,0.001405,0.0006824,0.0003323,0.0001643,7.92e-05,3.956e-05,1.978e-05,9.859e-06,5.034e-06,2.61e-06,1.328e-06,6.987e-07,3.623e-07,1.936e-07,9.973e-08
1.8125,0.195,0.07633,0.03269,0.0146,0.006498,0.003054,0.001419,0.0006812,0.0003308,0.000162,8.041e-05,3.969e-05,1.992e-05,9.962e-06,5.072e-06,2.595e-06,1.336e-06,6.964e-07,3.603e-07,1.882e-07,9.982e-08
1.875,0.1955,0.0762,0.03264,0.01434,0.006501,0.003014,0.001424,0.0006723,0.0003278,0.0001611,7.961e-05,4.037e-05,1.989e-05,1.018e-05,5.016e-06,2.598e-06,1.346e-06,6.902e-07,3.588e-07,1.884e-07,1.002e-07
1.9375,0.194,0.07905,0.03288,0.01444,0.006537,0.002983,0.001417,0.0006837,0.0003308,0.000162,8.04e-05,3.937e-05,2.001e-05,1.019e-05,5.004e-06,2.609e-06,1.329e-06,6.927e-07,3.627e-07,1.903e-07,1.003e-07
2.0,0.1948,0.07739,0.03284,0.01439,0.006519,0.003033,0.001418,0.0006842,0.0003333,0.0001598,7.905e-05,4.059e-05,1.97e-05,1.02e-05,5.056e-06,2.617e-06,1.34e-06,6.906e-07,3.587e-07,1.89e-07,1.002e-07
2.0625,0.1978,0.07846,0.03291,0.01449,0.006515,0.003051,0.001422,0.0006889,0.0003317,0.0001629,8.008e-05,4.006e-05,1.984e-05,1.011e-05,5.086e-06,2.62e-06,1.322e-06,6.962e-07,3.632e-07,1.923e-07,1.006e-07
2.125,0.1969,0.07878,0.03311,0.01448,0.006574,0.003053,0.001419,0.0006759,0.0003253,0.0001636,8.184e-05,3.945e-05,1.981e-05,1.014e-05,5.004e-06,2.602e-06,1.335e-06,6.968e-07,3.629e-07,1.928e-07,1.005e-07
2.1875,0.1961,0.07846,0.03325,0.01446,0.006575,0.003025,0.001444,0.0006858,0.0003308,0.000162,8.019e-05,3.982e-05,1.984e-05,1.007e-05,5.12e-06,2.568e-06,1.326e-06,6.971e-07,3.631e-07,1.896e-07,1.004e-07
2.25,0.1963,0.07883,0.03359,0.01442,0.006589,0.003053,0.001424,0.000683,0.0003319,0.0001636,8.093e-05,4.057e-05,1.999e-05,1.013e-05,5.075e-06,2.595e-06,1.343e-06,6.877e-07,3.618e-07,1.911e-07,1.004e-07
2.3125,0.1957,0.07909,0.03321,0.0146,0.006611,0.003009,0.001436,0.0006869,0.0003307,0.0001603,8.139e-05,4.042e-05,2.021e-05,1.019e-05,5.065e-06,2.637e-06,1.341e-06,6.998e-07,3.618e-07,1.903e-07,9.995e-08
2.375,0.1958,0.07857,0.03329,0.01463,0.006623,0.003057,0.001419,0.0006895,0.000334,0.0001664,7.979e-05,4.008e-05,2.005e-05,1.009e-05,5.071e-06,2.625e-06,1.344e-06,6.945e-07,3.652e-07,1.915e-07,1.008e-07
